taxon_id,genus,family,phylum,domain
T001,Nitrosomonas,Pseudomonadaceae,Pseudomonadota,Bacteria
T002,Pseudomonas,Pseudomonadaceae,Pseudomonadota,Bacteria
T003,Pseudomonas,Pseudomonadaceae,Pseudomonadota,Bacteria
T004,Nitrosomonas,Pseudomonadaceae,Pseudomonadota,Bacteria
T005,Escherichia,Pseudomonadaceae,Pseudomonadota,Bacteria
T006,Pseudomonas,Pseudomonadaceae,Pseudomonadota,Bacteria
T007,Chryseobacterium,Bacteroidaceae,Bacteroidota,Bacteria
T008,Bacteroides,Bacteroidaceae,Bacteroidota,Bacteria
T009,Bacteroides,Bacteroidaceae,Bacteroidota,Bacteria
T010,Flavobacterium,Bacteroidaceae,Bacteroidota,Bacteria
T011,Flavobacterium,Bacteroidaceae,Bacteroidota,Bacteria
T012,Clostridium,Bacillaceae,Bacillota,Bacteria
T013,Clostridium,Bacillaceae,Bacillota,Bacteria
T014,Bacillus,Bacillaceae,Bacillota,Bacteria
T015,Paenibacillus,Bacillaceae,Bacillota,Bacteria
T016,Clostridium,Bacillaceae,Bacillota,Bacteria
T017,Clostridium,Bacillaceae,Bacillota,Bacteria
T018,Streptomyces,Mycobacteriaceae,Actinomycetota,Bacteria
T019,Arthrobacter,Mycobacteriaceae,Actinomycetota,Bacteria
T020,Mycobacterium,Mycobacteriaceae,Actinomycetota,Bacteria
T021,Streptomyces,Mycobacteriaceae,Actinomycetota,Bacteria
T022,Mycobacterium,Mycobacteriaceae,Actinomycetota,Bacteria
T023,Acidobacterium,Acidobacteriaceae,Acidobacteriota,Bacteria
T024,Terriglobus,Acidobacteriaceae,Acidobacteriota,Bacteria
T025,Terriglobus,Acidobacteriaceae,Acidobacteriota,Bacteria
T026,Acidobacterium,Acidobacteriaceae,Acidobacteriota,Bacteria
T027,Acidobacterium,Acidobacteriaceae,Acidobacteriota,Bacteria
T028,Microcystis,Synechococcaceae,Cyanobacteriota,Bacteria
T029,Microcystis,Synechococcaceae,Cyanobacteriota,Bacteria
T030,Synechococcus,Synechococcaceae,Cyanobacteriota,Bacteria
T031,Synechococcus,Synechococcaceae,Cyanobacteriota,Bacteria
T032,Microcystis,Synechococcaceae,Cyanobacteriota,Bacteria
T033,Methanosarcina,Methanosarcinaceae,Euryarchaeota,Archaea
T034,Methanosarcina,Methanosarcinaceae,Euryarchaeota,Archaea
T035,Methanosarcina,Methanosarcinaceae,Euryarchaeota,Archaea
T036,Methanosarcina,Methanosarcinaceae,Euryarchaeota,Archaea
T037,Methanobrevibacter,Methanosarcinaceae,Euryarchaeota,Archaea
T038,Nitrospira,Nitrospiraceae,Nitrospirota,Bacteria
T039,Nitrospira,Nitrospiraceae,Nitrospirota,Bacteria
T040,Nitrospira,Nitrospiraceae,Nitrospirota,Bacteria
T041,Nitrospira,Nitrospiraceae,Nitrospirota,Bacteria
T042,Nitrospira,Nitrospiraceae,Nitrospirota,Bacteria
